,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,2040,saltCavernH2_G,0.0
1,2040,Battery,0.0
2,2040,tankH2_G,986.9860212355468
3,2050,saltCavernH2_G,0.0
4,2050,Battery,0.0
5,2050,tankH2_G,1142.3359820450526
6,2020,saltCavernH2_G,0.0
7,2020,Battery,0.0
8,2020,tankH2_G,0.0
9,2030,saltCavernH2_G,0.0
10,2030,Battery,0.0
11,2030,tankH2_G,245.33457508766497
