,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazNat,425201475.68503195
1,2040,gaz,-0.0
2,2040,hydrogen,-0.0
3,2040,gazBio,-0.0
4,2040,electricity,-0.0
5,2040,uranium,724735433.3159629
6,2050,gazNat,302724538.8314357
7,2050,gaz,-0.0
8,2050,hydrogen,-0.0
9,2050,gazBio,98874849.27867623
10,2050,electricity,-0.0
11,2050,uranium,273109629.95745486
12,2020,gazNat,150452890.63491577
13,2020,gaz,-0.0
14,2020,hydrogen,-0.0
15,2020,gazBio,-0.0
16,2020,electricity,-0.0
17,2020,uranium,2126904311.3393042
18,2030,gazNat,790436363.1765467
19,2030,gaz,-0.0
20,2030,hydrogen,-0.0
21,2030,gazBio,-0.0
22,2030,electricity,-0.0
23,2030,uranium,1338393448.5356002
