,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
0,2040,1,saltCavernH2_G,0.0
1,2040,1,Battery,0.0
2,2040,2,saltCavernH2_G,269.20624699457017
3,2040,2,Battery,0.0
4,2040,3,saltCavernH2_G,678.597610585408
5,2040,3,Battery,0.0
6,2040,4,saltCavernH2_G,1028.2822792720663
7,2040,4,Battery,0.0
8,2040,5,saltCavernH2_G,1156.0931075857245
9,2040,5,Battery,0.0
10,2040,6,saltCavernH2_G,1156.0931075857245
11,2040,6,Battery,0.0
12,2040,7,saltCavernH2_G,1503.9174023899502
13,2040,7,Battery,0.0
14,2040,8,saltCavernH2_G,2123.205435417357
15,2040,8,Battery,0.0
16,2040,9,saltCavernH2_G,3846.1825919438743
17,2040,9,Battery,0.0
18,2040,10,saltCavernH2_G,3846.1825919438743
19,2040,10,Battery,0.0
20,2040,11,saltCavernH2_G,4390.12698436391
21,2040,11,Battery,0.0
22,2040,12,saltCavernH2_G,5326.702230934428
23,2040,12,Battery,0.0
24,2040,13,saltCavernH2_G,6290.251805463494
25,2040,13,Battery,0.0
26,2040,14,saltCavernH2_G,8370.653614592225
27,2040,14,Battery,920.0
28,2040,15,saltCavernH2_G,10451.055423720956
29,2040,15,Battery,1832.18
30,2040,16,saltCavernH2_G,12000.0
31,2040,16,Battery,2556.4441307433212
32,2040,17,saltCavernH2_G,11184.439972358257
33,2040,17,Battery,1444.7143556320027
34,2040,18,saltCavernH2_G,11184.439972358257
35,2040,18,Battery,342.4342836091309
36,2040,19,saltCavernH2_G,11184.439972358257
37,2040,19,Battery,0.0
38,2040,20,saltCavernH2_G,11184.439972358257
39,2040,20,Battery,0.0
40,2040,21,saltCavernH2_G,11184.439972358257
41,2040,21,Battery,0.0
42,2040,22,saltCavernH2_G,11184.439972358257
43,2040,22,Battery,0.0
44,2040,23,saltCavernH2_G,11184.439972358257
45,2040,23,Battery,0.0
46,2040,24,saltCavernH2_G,11184.439972358257
47,2040,24,Battery,0.0
48,2040,25,saltCavernH2_G,11184.439972358257
49,2040,25,Battery,0.0
50,2040,26,saltCavernH2_G,11184.439972358257
51,2040,26,Battery,0.0
52,2040,27,saltCavernH2_G,11184.439972358257
53,2040,27,Battery,0.0
54,2040,28,saltCavernH2_G,11589.134033349528
55,2040,28,Battery,0.0
56,2040,29,saltCavernH2_G,10618.364130963237
57,2040,29,Battery,0.0
58,2040,30,saltCavernH2_G,10618.364130963237
59,2040,30,Battery,0.0
60,2040,31,saltCavernH2_G,10618.364130963237
61,2040,31,Battery,0.0
62,2040,32,saltCavernH2_G,10618.364130963237
63,2040,32,Battery,0.0
