,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,electricity,4909233.896010039
1,2040,gaz,-0.0
2,2040,gazBio,10665.344867217045
3,2040,gazNat,11895928.049073601
4,2040,hydrogen,-0.0
5,2050,electricity,4450668.162277736
6,2050,gaz,-0.0
7,2050,gazBio,609227.8036298665
8,2050,gazNat,4657229.914972593
9,2050,hydrogen,-0.0
10,2020,electricity,-0.0
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,electricity,13859434.438980645
16,2030,gaz,-0.0
17,2030,gazBio,-0.0
18,2030,gazNat,33677406.05895517
19,2030,hydrogen,-0.0
