,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,1896.1303108809277
1,2040,P,1293.517878903202
2,2040,HPH,1896.1303108809277
3,2040,HCE,1896.1303108809277
4,2040,HPE,1896.1303108809277
5,2050,HCH,1358.4937768786144
6,2050,P,0.0
7,2050,HPH,1358.4937768786144
8,2050,HCE,1745.6392969762016
9,2050,HPE,1745.6392969762016
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,872.790834655119
16,2030,P,0.0
17,2030,HPH,872.790834655119
18,2030,HCE,872.790834655119
19,2030,HPE,872.790834655119
