,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,2579.5808687413523
1,2040,P,2550.4726143413527
2,2040,HCE,2588.0503215913527
3,2040,HPH,2579.5808687413523
4,2040,HPE,2585.9754459913524
5,2050,HCH,2746.2542064041622
6,2050,P,2672.9504569541623
7,2050,HCE,2781.4597696807386
8,2050,HPH,2746.2542064041622
9,2050,HPE,2781.4597696807386
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HCE,-0.0
13,2020,HPH,0.0
14,2020,HPE,-0.0
15,2030,HCH,999.7682390948423
16,2030,P,737.8117687817976
17,2030,HCE,999.7682390948423
18,2030,HPH,999.7682390948423
19,2030,HPE,999.7682390948423
