,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,2025,Battery,3200471.1614002716
1,2025,saltCavernH2_G,25117113.502485693
2,2020,Battery,-0.0
3,2020,saltCavernH2_G,-0.0
4,2030,Battery,44147349.98170622
5,2030,saltCavernH2_G,130701095.39760861
6,2015,Battery,-0.0
7,2015,saltCavernH2_G,-0.0
