,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,2025,Battery,750.0
1,2025,saltCavernH2_G,912.5
2,2010,Battery,0.0
3,2010,saltCavernH2_G,0.0
4,2020,Battery,103.23487181473195
5,2020,saltCavernH2_G,912.5
6,2015,Battery,0.0
7,2015,saltCavernH2_G,0.0
