,YEAR_op,HORAIRE,max_PS_Dvar
0,2025,HPH,0.0
1,2025,HCH,-0.0
2,2025,HCE,-0.0
3,2025,P,0.0
4,2025,HPE,-0.0
5,2020,HPH,0.0
6,2020,HCH,-0.0
7,2020,HCE,-0.0
8,2020,P,0.0
9,2020,HPE,-0.0
10,2030,HPH,0.0
11,2030,HCH,-0.0
12,2030,HCE,-0.0
13,2030,P,0.0
14,2030,HPE,-0.0
15,2015,HPH,0.0
16,2015,HCH,-0.0
17,2015,HCE,-0.0
18,2015,P,0.0
19,2015,HPE,-0.0
