YEAR_op,TIMESTAMP,energyCtr
2025,1,20.14
2025,2,20.14
2025,3,20.14
2025,4,20.14
2025,5,20.14
2025,6,20.14
2025,7,20.14
2025,8,20.14
2025,9,19.92
2025,10,20.36
2025,11,20.14
2025,12,20.14
2025,13,20.36
2025,14,19.92
2025,15,0.0
2025,16,0.0
2025,17,0.0
2025,18,40.36
2025,19,40.36
2025,20,40.36
2025,21,20.14
2025,22,0.0
2025,23,40.27
2025,24,40.27
2025,25,0.0
2025,26,20.14
2025,27,20.14
2025,28,0.0
2025,29,0.0
2025,30,19.96
2025,31,40.36
2025,32,40.36
2025,33,40.36
2025,34,40.36
2025,35,40.36
2025,36,40.36
2025,37,40.36
2025,38,20.14
2025,39,20.14
2025,40,39.92
2025,41,40.36
2025,42,40.36
2025,43,40.36
2025,44,40.36
2025,45,40.36
2025,46,40.36
2025,47,40.36
2025,48,40.36
2025,49,20.14
2025,50,20.14
2025,51,20.14
2025,52,20.14
2025,53,0.0
2025,54,20.05
2025,55,40.36
2025,56,40.36
2025,57,40.36
2025,58,40.36
2025,59,40.36
2025,60,40.36
2025,61,40.36
2025,62,40.36
2025,63,40.36
2025,64,40.36
2025,65,40.36
2025,66,40.36
2025,67,40.36
2025,68,40.36
2025,69,40.36
2025,70,40.36
2025,71,40.36
2025,72,40.36
2025,73,40.36
2025,74,40.36
2025,75,20.14
2025,76,20.14
2025,77,40.36
2025,78,40.36
2025,79,40.36
2025,80,40.36
2025,81,40.36
2025,82,40.36
2025,83,40.36
2025,84,40.36
2025,85,40.36
2025,86,40.36
2025,87,40.36
2025,88,40.36
2025,89,40.36
2025,90,40.36
2025,91,40.36
2025,92,40.36
2025,93,40.36
2025,94,40.36
2025,95,40.36
2025,96,40.36
2025,97,40.36
2025,98,40.36
2025,99,39.92
2025,100,0.0
2025,101,20.14
2025,102,39.92
2025,103,40.36
2025,104,40.36
2025,105,40.36
2025,106,40.36
2025,107,40.36
2025,108,40.36
2025,109,40.36
2025,110,20.14
2025,111,20.14
2025,112,20.14
2025,113,40.36
2025,114,40.36
2025,115,40.36
2025,116,40.36
2025,117,40.36
2025,118,40.36
2025,119,40.36
2025,120,40.36
2025,121,40.36
2025,122,40.36
2025,123,39.92
2025,124,0.35
2025,125,20.14
2025,126,20.14
2025,127,39.92
2025,128,40.36
2025,129,40.36
2025,130,40.36
2025,131,40.36
2025,132,40.36
2025,133,40.36
2025,134,39.92
2025,135,20.14
2025,136,20.14
2025,137,40.36
2025,138,40.36
2025,139,40.36
2025,140,40.36
2025,141,40.36
2025,142,40.36
2025,143,40.36
2025,144,40.36
2025,145,40.36
2025,146,40.36
2025,147,40.36
2025,148,20.14
2025,149,20.14
2025,150,40.36
2025,151,40.36
2025,152,40.8
2025,153,40.8
2025,154,40.36
2025,155,40.36
2025,156,40.36
2025,157,40.36
2025,158,40.36
2025,159,40.36
2025,160,40.36
2025,161,40.36
2025,162,83.37
2025,163,83.37
2025,164,83.37
2025,165,40.36
2025,166,40.36
2025,167,40.36
2025,168,40.36
2025,169,40.36
2025,170,40.36
2025,171,40.36
2025,172,40.36
2025,173,40.36
2025,174,40.36
2025,175,40.7
2025,176,82.92
2025,177,82.92
2025,178,82.92
2025,179,82.92
2025,180,82.92
2025,181,40.36
2025,182,40.36
2025,183,40.36
2025,184,40.36
2025,185,40.36
2025,186,82.92
2025,187,82.92
2025,188,82.92
2025,189,40.36
2025,190,40.36
2025,191,40.36
2025,192,40.36
2025,193,40.36
2025,194,40.36
2025,195,40.36
2025,196,40.36
2025,197,40.36
2025,198,40.36
2025,199,40.36
2025,200,83.17
2025,201,83.17
2025,202,83.17
2025,203,83.17
2025,204,83.17
2025,205,40.36
2025,206,40.36
2025,207,40.36
2025,208,40.36
2025,209,83.17
2025,210,83.17
2025,211,96.04
2025,212,83.17
2025,213,40.36
2025,214,40.36
2025,215,40.36
2025,216,40.36
2025,217,40.36
2025,218,40.36
2025,219,40.36
2025,220,40.36
2025,221,40.36
2025,222,40.36
2025,223,40.36
2025,224,83.17
2025,225,83.17
2025,226,83.17
2025,227,40.36
2025,228,40.36
2025,229,40.36
2025,230,40.36
2025,231,40.36
2025,232,40.36
2025,233,40.36
2025,234,40.36
2025,235,40.8
2025,236,40.36
2025,237,40.36
2025,238,40.36
2025,239,40.36
2025,240,40.36
2025,241,20.14
2025,242,39.92
2025,243,0.35
2025,244,20.14
2025,245,0.0
2025,246,39.92
2025,247,40.36
2025,248,40.36
2025,249,40.36
2025,250,40.36
2025,251,40.36
2025,252,40.36
2025,253,40.36
2025,254,40.36
2025,255,39.92
2025,256,40.36
2025,257,40.36
2025,258,40.36
2025,259,83.78
2025,260,40.36
2025,261,40.36
2025,262,40.36
2025,263,40.36
2025,264,40.36
2025,265,40.36
2025,266,40.36
2025,267,40.36
2025,268,20.14
2025,269,20.14
2025,270,40.36
2025,271,40.36
2025,272,40.36
2025,273,40.36
2025,274,40.36
2025,275,40.36
2025,276,40.36
2025,277,40.36
2025,278,40.36
2025,279,40.36
2025,280,40.36
2025,281,40.36
2025,282,40.36
2025,283,40.36
2025,284,40.36
2025,285,40.36
2025,286,40.36
2025,287,40.36
2025,288,40.36
2025,289,40.36
2025,290,40.36
2025,291,40.36
2025,292,40.36
2025,293,40.36
2025,294,40.36
2025,295,40.36
2025,296,40.36
2025,297,40.36
2025,298,40.36
2025,299,40.36
2025,300,40.36
2025,301,40.36
2025,302,40.36
2025,303,40.36
2025,304,40.36
2025,305,40.36
2025,306,40.36
2025,307,40.36
2025,308,40.36
2025,309,40.36
2025,310,40.36
2025,311,40.36
2025,312,40.36
2025,313,40.36
2025,314,40.36
2025,315,40.36
