,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
197,2025,WindOnShore,TAC,0.0
198,2025,WindOnShore,OldNuke,0.0
199,2025,WindOnShore,Solar,0.0
200,2025,WindOnShore,IntercoOut,0.0
201,2025,WindOnShore,HydroRiver,0.0
202,2025,WindOnShore,IntercoIn,0.0
203,2025,WindOnShore,HydroReservoir,0.0
204,2025,WindOnShore,WindOnShore,0.0
205,2025,WindOnShore,TAC_H2,0.0
206,2025,WindOnShore,curtailment,0.0
207,2025,WindOnShore,Coal_p,0.0
208,2025,TAC_H2,CCG,0.0
209,2025,TAC_H2,electrolysis_AEL,0.0
210,2025,TAC_H2,WindOffShore,0.0
211,2025,TAC_H2,CCG_H2,0.0
212,2025,TAC_H2,NewNuke,0.0
213,2025,TAC_H2,TAC,0.0
214,2025,TAC_H2,OldNuke,0.0
215,2025,TAC_H2,Solar,0.0
216,2025,TAC_H2,IntercoOut,0.0
217,2025,TAC_H2,HydroRiver,0.0
218,2025,TAC_H2,IntercoIn,0.0
219,2025,TAC_H2,HydroReservoir,0.0
220,2025,TAC_H2,WindOnShore,0.0
221,2025,TAC_H2,TAC_H2,0.0
222,2025,TAC_H2,curtailment,0.0
223,2025,TAC_H2,Coal_p,0.0
224,2025,curtailment,CCG,0.0
225,2025,curtailment,electrolysis_AEL,0.0
226,2025,curtailment,WindOffShore,0.0
227,2025,curtailment,CCG_H2,0.0
228,2025,curtailment,NewNuke,0.0
229,2025,curtailment,TAC,0.0
230,2025,curtailment,OldNuke,0.0
231,2025,curtailment,Solar,0.0
232,2025,curtailment,IntercoOut,0.0
233,2025,curtailment,HydroRiver,0.0
234,2025,curtailment,IntercoIn,0.0
235,2025,curtailment,HydroReservoir,0.0
236,2025,curtailment,WindOnShore,0.0
237,2025,curtailment,TAC_H2,0.0
238,2025,curtailment,curtailment,0.0
239,2025,curtailment,Coal_p,0.0
240,2025,Coal_p,CCG,0.0
241,2025,Coal_p,electrolysis_AEL,0.0
242,2025,Coal_p,WindOffShore,0.0
243,2025,Coal_p,CCG_H2,0.0
