TIMESTAMP,Calendrier,HTA,sup36,inf36
180,HPH,35.2,52.8,39.4
181,HPH,35.2,52.8,39.4
182,HPH,35.2,52.8,39.4
183,HPH,35.2,52.8,39.4
184,HPH,35.2,52.8,39.4
185,HPH,35.2,52.8,39.4
186,HPH,35.2,52.8,39.4
187,P,44.2,52.8,39.4
188,P,44.2,52.8,39.4
189,HPH,35.2,52.8,39.4
190,HPH,35.2,52.8,39.4
191,HCH,22.6,36.4,39.4
192,HCH,22.6,36.4,39.4
193,HCH,22.6,36.4,39.4
194,HCH,22.6,36.4,39.4
195,HCH,22.6,36.4,39.4
196,HCH,22.6,36.4,39.4
197,HCH,22.6,36.4,39.4
198,HCH,22.6,36.4,39.4
199,P,44.2,52.8,39.4
200,P,44.2,52.8,39.4
201,HPH,35.2,52.8,39.4
202,HPH,35.2,52.8,39.4
203,HPH,35.2,52.8,39.4
204,HPH,35.2,52.8,39.4
205,HPH,35.2,52.8,39.4
206,HPH,35.2,52.8,39.4
207,HPH,35.2,52.8,39.4
208,HPH,35.2,52.8,39.4
209,HPH,35.2,52.8,39.4
210,HPH,35.2,52.8,39.4
211,P,44.2,52.8,39.4
212,P,44.2,52.8,39.4
213,HPH,35.2,52.8,39.4
214,HPH,35.2,52.8,39.4
215,HCH,22.6,36.4,39.4
216,HCH,22.6,36.4,39.4
217,HCH,22.6,36.4,39.4
218,HCH,22.6,36.4,39.4
219,HCH,22.6,36.4,39.4
220,HCH,22.6,36.4,39.4
221,HCH,22.6,36.4,39.4
222,HCH,22.6,36.4,39.4
223,P,44.2,52.8,39.4
224,P,44.2,52.8,39.4
225,HPH,35.2,52.8,39.4
226,HPH,35.2,52.8,39.4
227,HPH,35.2,52.8,39.4
228,HPH,35.2,52.8,39.4
229,HPH,35.2,52.8,39.4
230,HPH,35.2,52.8,39.4
231,HPH,35.2,52.8,39.4
232,HPH,35.2,52.8,39.4
233,HPH,35.2,52.8,39.4
234,HPH,35.2,52.8,39.4
235,P,44.2,52.8,39.4
236,P,44.2,52.8,39.4
237,HPH,35.2,52.8,39.4
238,HPH,35.2,52.8,39.4
239,HCH,22.6,36.4,39.4
240,HCH,22.6,36.4,39.4
241,HCH,22.6,36.4,39.4
242,HCH,22.6,36.4,39.4
243,HCH,22.6,36.4,39.4
244,HCH,22.6,36.4,39.4
245,HCH,22.6,36.4,39.4
246,HCH,22.6,36.4,39.4
247,P,44.2,52.8,39.4
248,P,44.2,52.8,39.4
249,HPH,35.2,52.8,39.4
250,HPH,35.2,52.8,39.4
251,HPH,35.2,52.8,39.4
252,HPH,35.2,52.8,39.4
253,HPH,35.2,52.8,39.4
254,HPH,35.2,52.8,39.4
255,HPH,35.2,52.8,39.4
256,HPH,35.2,52.8,39.4
257,HPH,35.2,52.8,39.4
258,HPH,35.2,52.8,39.4
259,P,44.2,52.8,39.4
260,P,44.2,52.8,39.4
261,HPH,35.2,52.8,39.4
262,HPH,35.2,52.8,39.4
263,HCH,22.6,36.4,39.4
264,HCH,22.6,36.4,39.4
265,HCH,22.6,36.4,39.4
266,HCH,22.6,36.4,39.4
267,HCH,22.6,36.4,39.4
268,HCH,22.6,36.4,39.4
269,HCH,22.6,36.4,39.4
270,HCH,22.6,36.4,39.4
271,P,44.2,52.8,39.4
272,P,44.2,52.8,39.4
273,HPH,35.2,52.8,39.4
274,HPH,35.2,52.8,39.4
275,HPH,35.2,52.8,39.4
276,HPH,35.2,52.8,39.4
277,HPH,35.2,52.8,39.4
278,HPH,35.2,52.8,39.4
279,HPH,35.2,52.8,39.4
280,HPH,35.2,52.8,39.4
281,HPH,35.2,52.8,39.4
282,HPH,35.2,52.8,39.4
283,P,44.2,52.8,39.4
284,P,44.2,52.8,39.4
285,HPH,35.2,52.8,39.4
286,HPH,35.2,52.8,39.4
287,HCH,22.6,36.4,39.4
288,HCH,22.6,36.4,39.4
289,HCH,22.6,36.4,39.4
290,HCH,22.6,36.4,39.4
291,HCH,22.6,36.4,39.4
292,HCH,22.6,36.4,39.4
293,HCH,22.6,36.4,39.4
294,HCH,22.6,36.4,39.4
295,P,44.2,52.8,39.4
296,P,44.2,52.8,39.4
297,HPH,35.2,52.8,39.4
298,HPH,35.2,52.8,39.4
299,HPH,35.2,52.8,39.4
