YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,1,electricity,66044
2030,2,electricity,65316
2030,3,electricity,62046
2030,4,electricity,57959
2030,5,electricity,55949
2030,6,electricity,55484
2030,7,electricity,55602
2030,8,electricity,55656
2030,9,electricity,55124
2030,10,electricity,57241
2030,11,electricity,59357
2030,12,electricity,61718
2030,13,electricity,65027
2030,14,electricity,61879
2030,15,electricity,59708
2030,16,electricity,58832
2030,17,electricity,60146
2030,18,electricity,66905
2030,19,electricity,69694
2030,20,electricity,70321
2030,21,electricity,68457
2030,22,electricity,65880
2030,23,electricity,70132
2030,24,electricity,68553
2030,25,electricity,63884
2030,26,electricity,63598
2030,27,electricity,61192
2030,28,electricity,59266
2030,29,electricity,59866
2030,30,electricity,63701
2030,31,electricity,69380
2030,32,electricity,74764
2030,33,electricity,77264
2030,34,electricity,79183
2030,35,electricity,79707
2030,36,electricity,80736
2030,37,electricity,81104
2030,38,electricity,78723
2030,39,electricity,76177
2030,40,electricity,74552
2030,41,electricity,75594
2030,42,electricity,82113
2030,43,electricity,85063
2030,44,electricity,82485
2030,45,electricity,77643
2030,46,electricity,73605
2030,47,electricity,76978
2030,48,electricity,75531
2030,49,electricity,70026
2030,50,electricity,69063
2030,51,electricity,66428
2030,52,electricity,63695
2030,53,electricity,63842
2030,54,electricity,67368
2030,55,electricity,73202
2030,56,electricity,78502
2030,57,electricity,80203
2030,58,electricity,81624
2030,59,electricity,82057
2030,60,electricity,83047
2030,61,electricity,82867
2030,62,electricity,80764
2030,63,electricity,78508
2030,64,electricity,76806
2030,65,electricity,77434
2030,66,electricity,82682
2030,67,electricity,85175
2030,68,electricity,81931
2030,69,electricity,76958
2030,70,electricity,72621
2030,71,electricity,75724
2030,72,electricity,74137
2030,73,electricity,68719
2030,74,electricity,67411
2030,75,electricity,64836
2030,76,electricity,62169
2030,77,electricity,62205
2030,78,electricity,65634
2030,79,electricity,71168
2030,80,electricity,76695
2030,81,electricity,78522
2030,82,electricity,80263
2030,83,electricity,80620
2030,84,electricity,81836
2030,85,electricity,82040
2030,86,electricity,79521
2030,87,electricity,77333
2030,88,electricity,75360
2030,89,electricity,75649
2030,90,electricity,80712
2030,91,electricity,82727
2030,92,electricity,79488
2030,93,electricity,74924
2030,94,electricity,71179
2030,95,electricity,74430
2030,96,electricity,73204
2030,97,electricity,67483
2030,98,electricity,65990
2030,99,electricity,62908
2030,100,electricity,59804
2030,101,electricity,58446
2030,102,electricity,59830
