,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,2432.323925379473
1,2040,P,2415.836418929473
2,2040,HPH,2432.323925379473
3,2040,HCE,2432.323925379473
4,2040,HPE,2432.323925379473
5,2050,HCH,2396.3110636555452
6,2050,P,2349.2244589555453
7,2050,HPH,2396.3110636555452
8,2050,HCE,2396.3110636555452
9,2050,HPE,2396.3110636555452
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,84.78779330647414
16,2030,P,0.0
17,2030,HPH,84.78779330647414
18,2030,HCE,84.78779330647414
19,2030,HPE,84.78779330647414
