,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,2040,tankH2_G,4163.922665406441
1,2040,Battery,0.0
2,2040,saltCavernH2_G,169872.3821469001
3,2050,tankH2_G,3161.8985060664577
4,2050,Battery,0.0
5,2050,saltCavernH2_G,299872.3821469001
6,2020,tankH2_G,0.0
7,2020,Battery,0.0
8,2020,saltCavernH2_G,0.0
9,2030,tankH2_G,1002.0241593399838
10,2030,Battery,0.0
11,2030,saltCavernH2_G,39872.382146900105
