,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,2040,saltCavernH2_G,365.6500366895089
1,2040,Battery,0.0
2,2040,tankH2_G,1038.1631601765012
3,2050,saltCavernH2_G,1093.9553297681396
4,2050,Battery,0.0
5,2050,tankH2_G,857.1999841556208
6,2020,saltCavernH2_G,0.0
7,2020,Battery,0.0
8,2020,tankH2_G,0.0
9,2030,saltCavernH2_G,91.99400609785137
10,2030,Battery,0.0
11,2030,tankH2_G,180.96317602088038
