,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,electricity,7839642.647861931
1,2040,gaz,-0.0
2,2040,gazBio,3530.448923702632
3,2040,gazNat,17027981.867031537
4,2040,hydrogen,-0.0
5,2050,electricity,5970723.167155062
6,2050,gaz,-0.0
7,2050,gazBio,5437265.563936687
8,2050,gazNat,8648789.99527898
9,2050,hydrogen,-0.0
10,2020,electricity,-0.0
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,electricity,26809612.703093603
16,2030,gaz,-0.0
17,2030,gazBio,-0.0
18,2030,gazNat,62511456.929286376
19,2030,hydrogen,-0.0
