,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,3008.8939457027627
1,2040,P,2993.1966021527633
2,2040,HPH,3008.8939457027627
3,2040,HCE,3008.8939457027627
4,2040,HPE,3008.8939457027627
5,2050,HCH,3249.8182657985344
6,2050,P,2375.594128648534
7,2050,HPH,3249.8182657985344
8,2050,HCE,3249.8182657985344
9,2050,HPE,3249.8182657985344
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,2219.6783703650194
16,2030,P,2167.1539613650193
17,2030,HPH,2219.6783703650194
18,2030,HCE,2219.6783703650194
19,2030,HPE,2219.6783703650194
