,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,electricity,7213500.545549914
1,2040,gaz,-0.0
2,2040,gazBio,661472.6606445251
3,2040,gazNat,27935921.848733548
4,2040,hydrogen,-0.0
5,2050,electricity,5966899.92468304
6,2050,gaz,-0.0
7,2050,gazBio,7877393.46798885
8,2050,gazNat,20108396.330485873
9,2050,hydrogen,-0.0
10,2020,electricity,-0.0
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,electricity,23720696.18463337
16,2030,gaz,-0.0
17,2030,gazBio,-0.0
18,2030,gazNat,69593796.09102885
19,2030,hydrogen,-0.0
