YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,1,electricity,63853
2030,2,electricity,61087
2030,3,electricity,60174
2030,4,electricity,56536
2030,5,electricity,53176
2030,6,electricity,51805
2030,7,electricity,51538
2030,8,electricity,51480
2030,9,electricity,51335
2030,10,electricity,51388
2030,11,electricity,53413
2030,12,electricity,55548
2030,13,electricity,57939
2030,14,electricity,59467
2030,15,electricity,57025
2030,16,electricity,55007
2030,17,electricity,54597
2030,18,electricity,57156
2030,19,electricity,62586
2030,20,electricity,64889
2030,21,electricity,64697
2030,22,electricity,62723
2030,23,electricity,61460
2030,24,electricity,64314
2030,25,electricity,62653
2030,26,electricity,59186
2030,27,electricity,58771
2030,28,electricity,56155
2030,29,electricity,54911
2030,30,electricity,56360
2030,31,electricity,60380
2030,32,electricity,65553
2030,33,electricity,69919
2030,34,electricity,71999
2030,35,electricity,73497
2030,36,electricity,73981
2030,37,electricity,74765
2030,38,electricity,74316
2030,39,electricity,72578
2030,40,electricity,70055
2030,41,electricity,69030
2030,42,electricity,71298
2030,43,electricity,76614
2030,44,electricity,78366
2030,45,electricity,75168
2030,46,electricity,70876
2030,47,electricity,68464
2030,48,electricity,70737
2030,49,electricity,68791
2030,50,electricity,64707
2030,51,electricity,63738
2030,52,electricity,60850
2030,53,electricity,58914
2030,54,electricity,59964
2030,55,electricity,63904
2030,56,electricity,69136
2030,57,electricity,73234
2030,58,electricity,74615
2030,59,electricity,75778
2030,60,electricity,76210
2030,61,electricity,76734
2030,62,electricity,76138
2030,63,electricity,74544
2030,64,electricity,72144
2030,65,electricity,71033
2030,66,electricity,72746
2030,67,electricity,77030
2030,68,electricity,78406
2030,69,electricity,74605
2030,70,electricity,70115
2030,71,electricity,67444
2030,72,electricity,69354
2030,73,electricity,67666
2030,74,electricity,63435
2030,75,electricity,62264
2030,76,electricity,59302
2030,77,electricity,57427
2030,78,electricity,58415
2030,79,electricity,62134
2030,80,electricity,67192
2030,81,electricity,71562
2030,82,electricity,73079
2030,83,electricity,74472
2030,84,electricity,74930
2030,85,electricity,75633
2030,86,electricity,75181
2030,87,electricity,73442
2030,88,electricity,71035
2030,89,electricity,69675
2030,90,electricity,71128
2030,91,electricity,75239
2030,92,electricity,76043
2030,93,electricity,72490
2030,94,electricity,68369
2030,95,electricity,66059
2030,96,electricity,68379
2030,97,electricity,66650
2030,98,electricity,62202
2030,99,electricity,60809
2030,100,electricity,57500
2030,101,electricity,54992
2030,102,electricity,54493
2030,103,electricity,56018
2030,104,electricity,58241
2030,105,electricity,60724
2030,106,electricity,62935
2030,107,electricity,65286
2030,108,electricity,66412
2030,109,electricity,68078
2030,110,electricity,68772
2030,111,electricity,66435
2030,112,electricity,64225
2030,113,electricity,63075
2030,114,electricity,64665
2030,115,electricity,69348
2030,116,electricity,70920
2030,117,electricity,68385
