YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,289,electricity,0
2030,290,electricity,0
2030,291,electricity,0
2030,292,electricity,0
2030,293,electricity,0
2030,294,electricity,0
2030,295,electricity,0
2030,296,electricity,0
2030,297,electricity,0
2030,298,electricity,0
2030,299,electricity,0
2030,300,electricity,0
2030,301,electricity,0
2030,302,electricity,0
2030,303,electricity,0
2030,304,electricity,0
2030,305,electricity,0
2030,306,electricity,0
2030,307,electricity,0
2030,308,electricity,0
2030,309,electricity,0
2030,310,electricity,0
2030,311,electricity,0
2030,312,electricity,0
2030,313,electricity,0
2030,314,electricity,0
2030,315,electricity,0
2030,316,electricity,0
2030,317,electricity,0
2030,318,electricity,0
2030,319,electricity,0
2030,320,electricity,0
2030,321,electricity,0
2030,322,electricity,0
2030,323,electricity,0
2030,324,electricity,0
2030,325,electricity,0
2030,326,electricity,0
2030,327,electricity,0
2030,328,electricity,0
2030,329,electricity,0
2030,330,electricity,0
2030,331,electricity,0
2030,332,electricity,0
2030,333,electricity,0
2030,334,electricity,0
2030,335,electricity,0
2030,336,electricity,0
2030,337,electricity,0
2030,338,electricity,0
2030,339,electricity,0
2030,340,electricity,0
2030,341,electricity,0
2030,342,electricity,0
2030,343,electricity,0
2030,344,electricity,0
2030,345,electricity,0
2030,346,electricity,0
2030,347,electricity,0
2030,348,electricity,0
2030,349,electricity,0
2030,350,electricity,0
2030,351,electricity,0
2030,352,electricity,0
2030,353,electricity,0
2030,354,electricity,0
2030,355,electricity,0
2030,356,electricity,0
2030,357,electricity,0
2030,358,electricity,0
2030,359,electricity,0
2030,360,electricity,0
2030,361,electricity,0
2030,362,electricity,0
2030,363,electricity,0
2030,364,electricity,0
2030,365,electricity,0
2030,366,electricity,0
2030,367,electricity,0
2030,368,electricity,0
2030,369,electricity,0
2030,370,electricity,0
2030,371,electricity,0
2030,372,electricity,0
2030,373,electricity,0
2030,374,electricity,0
2030,375,electricity,0
2030,376,electricity,0
2030,377,electricity,0
2030,378,electricity,0
2030,379,electricity,0
2030,380,electricity,0
2030,381,electricity,0
2030,382,electricity,0
2030,383,electricity,0
2030,384,electricity,0
2030,385,electricity,0
2030,386,electricity,0
2030,387,electricity,0
2030,388,electricity,0
2030,389,electricity,0
2030,390,electricity,0
2030,391,electricity,0
2030,392,electricity,0
2030,393,electricity,0
2030,394,electricity,0
2030,395,electricity,0
2030,396,electricity,0
2030,397,electricity,0
2030,398,electricity,0
2030,399,electricity,0
2030,400,electricity,0
2030,401,electricity,0
2030,402,electricity,0
2030,403,electricity,0
2030,404,electricity,0
2030,405,electricity,0
2030,406,electricity,0
2030,407,electricity,0
2030,408,electricity,0
2030,409,electricity,0
2030,410,electricity,0
2030,411,electricity,0
2030,412,electricity,0
2030,413,electricity,0
2030,414,electricity,0
2030,415,electricity,0
2030,416,electricity,0
2030,417,electricity,0
2030,418,electricity,0
2030,419,electricity,0
2030,420,electricity,0
2030,421,electricity,0
2030,422,electricity,0
2030,423,electricity,0
2030,424,electricity,0
2030,425,electricity,0
2030,426,electricity,0
2030,427,electricity,0
2030,428,electricity,0
2030,429,electricity,0
2030,430,electricity,0
2030,431,electricity,0
2030,432,electricity,0
2030,433,electricity,0
2030,434,electricity,0
2030,435,electricity,0
2030,436,electricity,0
2030,437,electricity,0
2030,438,electricity,0
2030,439,electricity,0
2030,440,electricity,0
2030,441,electricity,0
2030,442,electricity,0
2030,443,electricity,0
2030,444,electricity,0
2030,445,electricity,0
2030,446,electricity,0
2030,447,electricity,0
2030,448,electricity,0
2030,449,electricity,0
2030,450,electricity,0
2030,451,electricity,0
2030,452,electricity,0
2030,453,electricity,0
2030,454,electricity,0
2030,455,electricity,0
2030,456,electricity,0
2030,457,electricity,0
2030,458,electricity,0
2030,459,electricity,0
2030,460,electricity,0
2030,461,electricity,0
2030,462,electricity,0
2030,463,electricity,0
2030,464,electricity,0
2030,465,electricity,0
2030,466,electricity,0
2030,467,electricity,0
2030,468,electricity,0
2030,469,electricity,0
2030,470,electricity,0
2030,471,electricity,0
2030,472,electricity,0
2030,473,electricity,0
2030,474,electricity,0
2030,475,electricity,0
2030,476,electricity,0
2030,477,electricity,0
2030,478,electricity,0
2030,479,electricity,0
2030,480,electricity,0
2030,481,electricity,0
2030,482,electricity,0
2030,483,electricity,0
2030,484,electricity,0
2030,485,electricity,0
2030,486,electricity,0
2030,487,electricity,0
2030,488,electricity,0
2030,489,electricity,0
2030,490,electricity,0
2030,491,electricity,0
2030,492,electricity,0
