,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,2040,tankH2_G,6494041.665708874
1,2040,saltCavernH2_G,-0.0
2,2040,Battery,-0.0
3,2050,tankH2_G,9417025.12520903
4,2050,saltCavernH2_G,-0.0
5,2050,Battery,-0.0
6,2020,tankH2_G,-0.0
7,2020,saltCavernH2_G,-0.0
8,2020,Battery,-0.0
9,2030,tankH2_G,2770078.437994572
10,2030,saltCavernH2_G,-0.0
11,2030,Battery,-0.0
