,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,2040,tankH2_G,5087930.625713678
1,2040,saltCavernH2_G,14597435.132472355
2,2040,Battery,-0.0
3,2050,tankH2_G,4419660.22582002
4,2050,saltCavernH2_G,18973972.69796754
5,2050,Battery,-0.0
6,2020,tankH2_G,-0.0
7,2020,saltCavernH2_G,-0.0
8,2020,Battery,-0.0
9,2030,tankH2_G,3267970.3667785362
10,2030,saltCavernH2_G,7221553.379936412
11,2030,Battery,-0.0
