,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,2040,HydroReservoir,0.0
1,2040,HydroRiver,0.0
2,2040,Solar,0.0
3,2040,curtailment,6326331.200953739
4,2040,Coal_p,-0.0
5,2040,OldNuke,2278272819.8886
6,2040,NewNuke,0.0
7,2040,TAC_H2,0.0
8,2040,IntercoOut,-0.0
9,2040,CCG_H2,0.0
10,2040,WindOffShore,0.0
11,2040,electrolysis_AEL,0.0
12,2040,CCG,0.0
13,2040,TAC,0.0
14,2040,IntercoIn,1520129774.2372444
15,2040,WindOnShore,0.0
16,2050,HydroReservoir,0.0
17,2050,HydroRiver,0.0
18,2050,Solar,0.0
19,2050,curtailment,24542063.094619326
20,2050,Coal_p,-0.0
21,2050,OldNuke,515259832.8708319
22,2050,NewNuke,0.0
23,2050,TAC_H2,0.0
24,2050,IntercoOut,-0.0
25,2050,CCG_H2,0.0
26,2050,WindOffShore,0.0
27,2050,electrolysis_AEL,0.0
28,2050,CCG,0.0
29,2050,TAC,0.0
30,2050,IntercoIn,2258662591.160682
31,2050,WindOnShore,0.0
32,2020,HydroReservoir,0.0
33,2020,HydroRiver,0.0
34,2020,Solar,0.0
35,2020,curtailment,-0.0
36,2020,Coal_p,574926.8946151987
37,2020,OldNuke,7763889299.484066
38,2020,NewNuke,0.0
39,2020,TAC_H2,0.0
40,2020,IntercoOut,-0.0
41,2020,CCG_H2,0.0
42,2020,WindOffShore,0.0
43,2020,electrolysis_AEL,0.0
44,2020,CCG,0.0
45,2020,TAC,0.0
46,2020,IntercoIn,-0.0
47,2020,WindOnShore,0.0
48,2030,HydroReservoir,0.0
49,2030,HydroRiver,0.0
50,2030,Solar,0.0
51,2030,curtailment,4453854.694781544
52,2030,Coal_p,55838677.257771984
53,2030,OldNuke,4902875207.116368
54,2030,NewNuke,0.0
55,2030,TAC_H2,0.0
56,2030,IntercoOut,-0.0
57,2030,CCG_H2,0.0
58,2030,WindOffShore,0.0
59,2030,electrolysis_AEL,0.0
60,2030,CCG,0.0
61,2030,TAC,0.0
62,2030,IntercoIn,573344751.3535795
63,2030,WindOnShore,0.0
