TIMESTAMP,RESSOURCES,areaConsumption
1,hydrogen,221
2,hydrogen,221
3,hydrogen,221
4,hydrogen,221
5,hydrogen,221
6,hydrogen,221
7,hydrogen,221
8,hydrogen,221
9,hydrogen,221
10,hydrogen,221
11,hydrogen,221
12,hydrogen,221
13,hydrogen,221
14,hydrogen,221
15,hydrogen,221
16,hydrogen,221
17,hydrogen,221
18,hydrogen,221
19,hydrogen,221
20,hydrogen,221
21,hydrogen,221
22,hydrogen,221
23,hydrogen,221
24,hydrogen,221
25,hydrogen,221
26,hydrogen,221
27,hydrogen,221
28,hydrogen,221
29,hydrogen,221
30,hydrogen,221
31,hydrogen,221
32,hydrogen,221
33,hydrogen,221
34,hydrogen,221
35,hydrogen,221
36,hydrogen,221
37,hydrogen,221
38,hydrogen,221
39,hydrogen,221
40,hydrogen,221
41,hydrogen,221
42,hydrogen,221
43,hydrogen,221
44,hydrogen,221
45,hydrogen,221
46,hydrogen,221
47,hydrogen,221
48,hydrogen,221
49,hydrogen,221
50,hydrogen,221
51,hydrogen,221
52,hydrogen,221
53,hydrogen,221
54,hydrogen,221
55,hydrogen,221
56,hydrogen,221
57,hydrogen,221
58,hydrogen,221
59,hydrogen,221
60,hydrogen,221
61,hydrogen,221
62,hydrogen,221
63,hydrogen,221
64,hydrogen,221
65,hydrogen,221
66,hydrogen,221
67,hydrogen,221
68,hydrogen,221
69,hydrogen,221
70,hydrogen,221
71,hydrogen,221
72,hydrogen,221
73,hydrogen,221
74,hydrogen,221
75,hydrogen,221
76,hydrogen,221
77,hydrogen,221
78,hydrogen,221
79,hydrogen,221
80,hydrogen,221
81,hydrogen,221
82,hydrogen,221
83,hydrogen,221
84,hydrogen,221
85,hydrogen,221
86,hydrogen,221
87,hydrogen,221
88,hydrogen,221
89,hydrogen,221
90,hydrogen,221
91,hydrogen,221
92,hydrogen,221
93,hydrogen,221
94,hydrogen,221
95,hydrogen,221
96,hydrogen,221
97,hydrogen,221
98,hydrogen,221
99,hydrogen,221
100,hydrogen,221
101,hydrogen,221
102,hydrogen,221
103,hydrogen,221
104,hydrogen,221
105,hydrogen,221
106,hydrogen,221
107,hydrogen,221
108,hydrogen,221
109,hydrogen,221
110,hydrogen,221
111,hydrogen,221
112,hydrogen,221
113,hydrogen,221
114,hydrogen,221
115,hydrogen,221
116,hydrogen,221
117,hydrogen,221
118,hydrogen,221
119,hydrogen,221
120,hydrogen,221
121,hydrogen,221
122,hydrogen,221
123,hydrogen,221
124,hydrogen,221
125,hydrogen,221
126,hydrogen,221
127,hydrogen,221
128,hydrogen,221
129,hydrogen,221
130,hydrogen,221
131,hydrogen,221
132,hydrogen,221
133,hydrogen,221
134,hydrogen,221
135,hydrogen,221
136,hydrogen,221
137,hydrogen,221
138,hydrogen,221
139,hydrogen,221
140,hydrogen,221
141,hydrogen,221
142,hydrogen,221
143,hydrogen,221
144,hydrogen,221
145,hydrogen,221
146,hydrogen,221
147,hydrogen,221
148,hydrogen,221
149,hydrogen,221
150,hydrogen,221
151,hydrogen,221
152,hydrogen,221
153,hydrogen,221
154,hydrogen,221
155,hydrogen,221
156,hydrogen,221
157,hydrogen,221
158,hydrogen,221
159,hydrogen,221
160,hydrogen,221
161,hydrogen,221
162,hydrogen,221
163,hydrogen,221
164,hydrogen,221
165,hydrogen,221
166,hydrogen,221
167,hydrogen,221
168,hydrogen,221
169,hydrogen,221
170,hydrogen,221
171,hydrogen,221
172,hydrogen,221
173,hydrogen,221
174,hydrogen,221
175,hydrogen,221
176,hydrogen,221
177,hydrogen,221
178,hydrogen,221
179,hydrogen,221
180,hydrogen,221
181,hydrogen,221
182,hydrogen,221
183,hydrogen,221
184,hydrogen,221
185,hydrogen,221
186,hydrogen,221
187,hydrogen,221
188,hydrogen,221
189,hydrogen,221
190,hydrogen,221
191,hydrogen,221
192,hydrogen,221
193,hydrogen,221
194,hydrogen,221
195,hydrogen,221
196,hydrogen,221
197,hydrogen,221
198,hydrogen,221
199,hydrogen,221
200,hydrogen,221
201,hydrogen,221
202,hydrogen,221
203,hydrogen,221
204,hydrogen,221
205,hydrogen,221
206,hydrogen,221
207,hydrogen,221
208,hydrogen,221
209,hydrogen,221
210,hydrogen,221
