TIMESTAMP,Calandrier
563,HPH
564,HPH
565,HPH
566,HPH
567,HPH
568,HPH
569,HPH
570,HPH
571,P
572,P
573,HPH
574,HPH
575,HCH
576,HCH
577,HCH
578,HCH
579,HCH
580,HCH
581,HCH
582,HCH
583,P
584,P
585,HPH
586,HPH
587,HPH
588,HPH
589,HPH
590,HPH
591,HPH
592,HPH
593,HPH
594,HPH
595,P
596,P
597,HPH
598,HPH
599,HCH
600,HCH
601,HCH
602,HCH
603,HCH
604,HCH
605,HCH
606,HCH
607,P
608,P
609,HPH
610,HPH
611,HPH
612,HPH
613,HPH
614,HPH
615,HPH
616,HPH
617,HPH
618,HPH
619,P
620,P
621,HPH
622,HPH
623,HCH
624,HCH
625,HCH
626,HCH
627,HCH
628,HCH
629,HCH
630,HCH
631,P
632,P
633,HPH
634,HPH
635,HPH
636,HPH
637,HPH
638,HPH
639,HPH
640,HPH
641,HPH
642,HPH
643,P
644,P
645,HPH
646,HPH
647,HCH
648,HCH
649,HCH
650,HCH
651,HCH
652,HCH
653,HCH
654,HCH
655,P
656,P
657,HPH
658,HPH
659,HPH
660,HPH
661,HPH
662,HPH
663,HPH
664,HPH
665,HPH
666,HPH
667,P
668,P
669,HPH
670,HPH
671,HCH
672,HCH
673,HCH
674,HCH
675,HCH
676,HCH
677,HCH
678,HCH
679,P
680,P
681,HPH
682,HPH
683,HPH
684,HPH
685,HPH
686,HPH
687,HPH
688,HPH
689,HPH
690,HPH
691,P
692,P
693,HPH
694,HPH
695,HCH
696,HCH
697,HCH
698,HCH
699,HCH
700,HCH
701,HCH
702,HCH
703,P
704,P
705,HPH
706,HPH
707,HPH
708,HPH
709,HPH
710,HPH
711,HPH
712,HPH
713,HPH
714,HPH
715,P
716,P
717,HPH
718,HPH
719,HCH
720,HCH
721,HCH
722,HCH
723,HCH
724,HCH
725,HCH
726,HCH
727,P
728,P
729,HPH
730,HPH
731,HPH
732,HPH
733,HPH
734,HPH
735,HPH
736,HPH
737,HPH
738,HPH
739,P
740,P
741,HPH
742,HPH
743,HCH
744,HCH
745,HCH
746,HCH
747,HCH
748,HCH
749,HCH
750,HCH
751,P
752,P
753,HPH
754,HPH
755,HPH
756,HPH
757,HPH
758,HPH
759,HPH
760,HPH
761,HPH
762,HPH
763,P
764,P
765,HPH
766,HPH
767,HCH
768,HCH
769,HCH
770,HCH
771,HCH
772,HCH
773,HCH
774,HCH
775,P
776,P
777,HPH
778,HPH
779,HPH
780,HPH
781,HPH
782,HPH
783,HPH
784,HPH
785,HPH
786,HPH
787,P
788,P
789,HPH
790,HPH
791,HCH
792,HCH
793,HCH
794,HCH
795,HCH
796,HCH
797,HCH
798,HCH
799,P
800,P
801,HPH
802,HPH
803,HPH
804,HPH
805,HPH
806,HPH
807,HPH
808,HPH
809,HPH
810,HPH
811,P
812,P
813,HPH
814,HPH
815,HCH
816,HCH
817,HCH
818,HCH
819,HCH
820,HCH
821,HCH
822,HCH
823,P
824,P
825,HPH
826,HPH
827,HPH
828,HPH
829,HPH
830,HPH
831,HPH
832,HPH
833,HPH
834,HPH
835,P
836,P
837,HPH
838,HPH
839,HCH
840,HCH
841,HCH
842,HCH
843,HCH
844,HCH
845,HCH
846,HCH
847,P
848,P
849,HPH
850,HPH
851,HPH
852,HPH
853,HPH
854,HPH
855,HPH
856,HPH
857,HPH
858,HPH
859,P
860,P
861,HPH
862,HPH
863,HCH
864,HCH
865,HCH
866,HCH
867,HCH
868,HCH
869,HCH
870,HCH
871,P
872,P
873,HPH
874,HPH
875,HPH
876,HPH
877,HPH
878,HPH
879,HPH
880,HPH
881,HPH
882,HPH
883,P
884,P
885,HPH
886,HPH
887,HCH
888,HCH
889,HCH
890,HCH
891,HCH
892,HCH
893,HCH
894,HCH
895,P
896,P
897,HPH
898,HPH
899,HPH
900,HPH
901,HPH
902,HPH
903,HPH
904,HPH
905,HPH
906,HPH
907,P
908,P
909,HPH
910,HPH
911,HCH
912,HCH
913,HCH
914,HCH
915,HCH
916,HCH
917,HCH
918,HCH
919,P
920,P
921,HPH
922,HPH
923,HPH
924,HPH
925,HPH
926,HPH
927,HPH
928,HPH
929,HPH
930,HPH
931,P
932,P
933,HPH
