,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
134,2040,SMR_elecCCS1,Solar,0.0
135,2040,SMR_elecCCS1,WindOnShore,0.0
136,2040,SMR_elecCCS1,SMR_elec,0.0
137,2040,SMR_elecCCS1,curtailment,0.0
138,2040,SMR_elecCCS1,WindOffShore_flot,0.0
139,2040,SMR_elecCCS1,SMR + CCS2,0.0
140,2040,SMR_elecCCS1,SMR_elecCCS1,0.0
141,2040,SMR_elecCCS1,SMR + CCS1,0.0
142,2040,SMR_elecCCS1,electrolysis_AEL,0.0
143,2040,SMR + CCS1,SMR,0.0
144,2040,SMR + CCS1,CCS2,0.0
145,2040,SMR + CCS1,electrolysis_PEMEL,0.0
146,2040,SMR + CCS1,CCS1,0.0
147,2040,SMR + CCS1,Solar,0.0
148,2040,SMR + CCS1,WindOnShore,0.0
149,2040,SMR + CCS1,SMR_elec,0.0
150,2040,SMR + CCS1,curtailment,0.0
151,2040,SMR + CCS1,WindOffShore_flot,0.0
152,2040,SMR + CCS1,SMR + CCS2,0.0
153,2040,SMR + CCS1,SMR_elecCCS1,0.0
154,2040,SMR + CCS1,SMR + CCS1,0.0
155,2040,SMR + CCS1,electrolysis_AEL,0.0
156,2040,electrolysis_AEL,SMR,0.0
157,2040,electrolysis_AEL,CCS2,0.0
158,2040,electrolysis_AEL,electrolysis_PEMEL,0.0
159,2040,electrolysis_AEL,CCS1,0.0
160,2040,electrolysis_AEL,Solar,0.0
161,2040,electrolysis_AEL,WindOnShore,0.0
162,2040,electrolysis_AEL,SMR_elec,0.0
163,2040,electrolysis_AEL,curtailment,0.0
164,2040,electrolysis_AEL,WindOffShore_flot,0.0
165,2040,electrolysis_AEL,SMR + CCS2,0.0
166,2040,electrolysis_AEL,SMR_elecCCS1,0.0
167,2040,electrolysis_AEL,SMR + CCS1,0.0
168,2040,electrolysis_AEL,electrolysis_AEL,0.0
169,2010,SMR,SMR,0.0
170,2010,SMR,CCS2,0.0
171,2010,SMR,electrolysis_PEMEL,0.0
172,2010,SMR,CCS1,0.0
173,2010,SMR,Solar,0.0
174,2010,SMR,WindOnShore,0.0
175,2010,SMR,SMR_elec,0.0
176,2010,SMR,curtailment,0.0
177,2010,SMR,WindOffShore_flot,0.0
178,2010,SMR,SMR + CCS2,0.0
179,2010,SMR,SMR_elecCCS1,0.0
180,2010,SMR,SMR + CCS1,0.0
181,2010,SMR,electrolysis_AEL,0.0
182,2010,CCS2,SMR,0.0
183,2010,CCS2,CCS2,0.0
184,2010,CCS2,electrolysis_PEMEL,0.0
185,2010,CCS2,CCS1,0.0
186,2010,CCS2,Solar,0.0
187,2010,CCS2,WindOnShore,0.0
188,2010,CCS2,SMR_elec,0.0
189,2010,CCS2,curtailment,0.0
190,2010,CCS2,WindOffShore_flot,0.0
191,2010,CCS2,SMR + CCS2,0.0
192,2010,CCS2,SMR_elecCCS1,0.0
193,2010,CCS2,SMR + CCS1,0.0
194,2010,CCS2,electrolysis_AEL,0.0
195,2010,electrolysis_PEMEL,SMR,0.0
196,2010,electrolysis_PEMEL,CCS2,0.0
197,2010,electrolysis_PEMEL,electrolysis_PEMEL,0.0
198,2010,electrolysis_PEMEL,CCS1,0.0
199,2010,electrolysis_PEMEL,Solar,0.0
200,2010,electrolysis_PEMEL,WindOnShore,0.0
201,2010,electrolysis_PEMEL,SMR_elec,0.0
202,2010,electrolysis_PEMEL,curtailment,0.0
203,2010,electrolysis_PEMEL,WindOffShore_flot,0.0
204,2010,electrolysis_PEMEL,SMR + CCS2,0.0
205,2010,electrolysis_PEMEL,SMR_elecCCS1,0.0
206,2010,electrolysis_PEMEL,SMR + CCS1,0.0
207,2010,electrolysis_PEMEL,electrolysis_AEL,0.0
208,2010,CCS1,SMR,0.0
209,2010,CCS1,CCS2,0.0
210,2010,CCS1,electrolysis_PEMEL,0.0
211,2010,CCS1,CCS1,0.0
212,2010,CCS1,Solar,0.0
213,2010,CCS1,WindOnShore,0.0
214,2010,CCS1,SMR_elec,0.0
215,2010,CCS1,curtailment,0.0
216,2010,CCS1,WindOffShore_flot,0.0
217,2010,CCS1,SMR + CCS2,0.0
218,2010,CCS1,SMR_elecCCS1,0.0
219,2010,CCS1,SMR + CCS1,0.0
220,2010,CCS1,electrolysis_AEL,0.0
221,2010,Solar,SMR,0.0
222,2010,Solar,CCS2,0.0
223,2010,Solar,electrolysis_PEMEL,0.0
224,2010,Solar,CCS1,0.0
225,2010,Solar,Solar,0.0
226,2010,Solar,WindOnShore,0.0
227,2010,Solar,SMR_elec,0.0
228,2010,Solar,curtailment,0.0
229,2010,Solar,WindOffShore_flot,0.0
230,2010,Solar,SMR + CCS2,0.0
231,2010,Solar,SMR_elecCCS1,0.0
232,2010,Solar,SMR + CCS1,0.0
233,2010,Solar,electrolysis_AEL,0.0
234,2010,WindOnShore,SMR,0.0
235,2010,WindOnShore,CCS2,0.0
236,2010,WindOnShore,electrolysis_PEMEL,0.0
237,2010,WindOnShore,CCS1,0.0
238,2010,WindOnShore,Solar,0.0
239,2010,WindOnShore,WindOnShore,0.0
240,2010,WindOnShore,SMR_elec,0.0
241,2010,WindOnShore,curtailment,0.0
242,2010,WindOnShore,WindOffShore_flot,0.0
243,2010,WindOnShore,SMR + CCS2,0.0
244,2010,WindOnShore,SMR_elecCCS1,0.0
245,2010,WindOnShore,SMR + CCS1,0.0
246,2010,WindOnShore,electrolysis_AEL,0.0
247,2010,SMR_elec,SMR,0.0
248,2010,SMR_elec,CCS2,0.0
249,2010,SMR_elec,electrolysis_PEMEL,0.0
250,2010,SMR_elec,CCS1,0.0
251,2010,SMR_elec,Solar,0.0
252,2010,SMR_elec,WindOnShore,0.0
253,2010,SMR_elec,SMR_elec,0.0
254,2010,SMR_elec,curtailment,0.0
255,2010,SMR_elec,WindOffShore_flot,0.0
256,2010,SMR_elec,SMR + CCS2,0.0
257,2010,SMR_elec,SMR_elecCCS1,0.0
