,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,2040,SMR,838455.0715310149
1,2040,CCS2,1.3821870978061107e-25
2,2040,electrolysis_PEMEL,-0.0
3,2040,CCS1,7.240027655174866e-26
4,2040,Solar,2411202.2546501523
5,2040,WindOnShore,5141534.139579732
6,2040,SMR_elec,-0.0
7,2040,curtailment,0.0
8,2040,WindOffShore_flot,34558163.93755201
9,2040,SMR + CCS2,-3.0934663617565336e-25
10,2040,SMR_elecCCS1,-0.0
11,2040,SMR + CCS1,-0.0
12,2040,electrolysis_AEL,45681037.10688888
13,2050,SMR,566430.2034966255
14,2050,CCS2,9.337560778911278e-26
15,2050,electrolysis_PEMEL,-0.0
16,2050,CCS1,4.8911032651440037e-26
17,2050,Solar,1603242.0852561996
18,2050,WindOnShore,3345037.428607539
19,2050,SMR_elec,-0.0
20,2050,curtailment,0.0
21,2050,WindOffShore_flot,40151721.13694133
22,2050,SMR + CCS2,-2.0898350314706197e-25
23,2050,SMR_elecCCS1,-0.0
24,2050,SMR + CCS1,-0.0
25,2050,electrolysis_AEL,26886573.162918795
26,2020,SMR,9128548.42460624
27,2020,CCS2,0.0
28,2020,electrolysis_PEMEL,-0.0
29,2020,CCS1,0.0
30,2020,Solar,-0.0
31,2020,WindOnShore,-0.0
32,2020,SMR_elec,-0.0
33,2020,curtailment,0.0
34,2020,WindOffShore_flot,-0.0
35,2020,SMR + CCS2,-0.0
36,2020,SMR_elecCCS1,-0.0
37,2020,SMR + CCS1,0.0
38,2020,electrolysis_AEL,-0.0
39,2030,SMR,5385415.331314572
40,2030,CCS2,2.045974552215368e-25
41,2030,electrolysis_PEMEL,-0.0
42,2030,CCS1,1.0717009559223358e-25
43,2030,Solar,2568603.994402941
44,2030,WindOnShore,5451947.21982937
45,2030,SMR_elec,-0.0
46,2030,curtailment,0.0
47,2030,WindOffShore_flot,-0.0
48,2030,SMR + CCS2,-4.579085902577253e-25
49,2030,SMR_elecCCS1,-0.0
50,2030,SMR + CCS1,-0.0
51,2030,electrolysis_AEL,33533535.64391459
