,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,2040,tankH2_G,3269302.282305413
1,2040,saltCavernH2_G,6394785.487681816
2,2040,Battery,-0.0
3,2050,tankH2_G,4399950.199333446
4,2050,saltCavernH2_G,13408967.96832728
5,2050,Battery,-0.0
6,2020,tankH2_G,-0.0
7,2020,saltCavernH2_G,-0.0
8,2020,Battery,-0.0
9,2030,tankH2_G,796669.3408378789
10,2030,saltCavernH2_G,2352189.326653242
11,2030,Battery,-0.0
