,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,2588.765892976857
1,2040,P,2572.0010063268564
2,2040,HPH,2588.765892976857
3,2040,HCE,2588.765892976857
4,2040,HPE,2588.765892976857
5,2050,HCH,2491.4702377049266
6,2050,P,2444.065914749044
7,2050,HPH,2491.4702377049266
8,2050,HCE,2491.4702377049266
9,2050,HPE,2491.4702377049266
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,904.6671988714406
16,2030,P,0.0
17,2030,HPH,904.6671988714406
18,2030,HCE,904.6671988714406
19,2030,HPE,904.6671988714406
