,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,2040,tankH2_G,5097438.516469324
1,2040,saltCavernH2_G,14589876.413927905
2,2040,Battery,-0.0
3,2050,tankH2_G,4423696.7081658775
4,2050,saltCavernH2_G,18971200.63752763
5,2050,Battery,-0.0
6,2020,tankH2_G,-0.0
7,2020,saltCavernH2_G,-0.0
8,2020,Battery,-0.0
9,2030,tankH2_G,3267943.5924386187
10,2030,saltCavernH2_G,7221224.734762498
11,2030,Battery,-0.0
