,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazNat,9665812.456791347
1,2040,gazBio,179760.2437843985
2,2040,hydrogen,-0.0
3,2040,gaz,-0.0
4,2040,electricity,4657101.207513687
5,2050,gazNat,274826.98165744153
6,2050,gazBio,7645564.718049773
7,2050,hydrogen,-0.0
8,2050,gaz,-0.0
9,2050,electricity,4482419.753186293
10,2020,gazNat,70509194.1001789
11,2020,gazBio,-0.0
12,2020,hydrogen,-0.0
13,2020,gaz,-0.0
14,2020,electricity,-0.0
15,2030,gazNat,30839704.403841123
16,2030,gazBio,40486.17892597476
17,2030,hydrogen,-0.0
18,2030,gaz,-0.0
19,2030,electricity,13743906.915606152
