,YEAR_invest,STOCK_TECHNO,CmaxInvest_Dvar
0,2040,STEP,20000.0
1,2040,Battery,8404.154590003567
2,2010,STEP,7248.505750000005
3,2010,Battery,0.0
4,2020,STEP,0.0
5,2020,Battery,-0.0
6,2030,STEP,20000.0
7,2030,Battery,0.0
