,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,2040,STEP,92256600.27568194
1,2040,Battery,-0.0
2,2050,STEP,132498035.11311
3,2050,Battery,58438037.40002352
4,2020,STEP,13822175.192158908
5,2020,Battery,-0.0
6,2030,STEP,38337854.22614987
7,2030,Battery,-0.0
