,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDel_Pvar
175,2030,2010,curtailment,0.0
176,2030,2010,OldNuke,0.0
177,2030,2010,IntercoOut,0.0
178,2030,2010,CCG,0.0
179,2030,2010,NewNuke,0.0
180,2030,2010,IntercoIn,0.0
181,2030,2010,WindOffShore,0.0
182,2030,2020,Solar,0.0
183,2030,2020,Coal_p,0.0
184,2030,2020,HydroRiver,0.0
185,2030,2020,WindOnShore,0.0
186,2030,2020,HydroReservoir,0.0
187,2030,2020,TAC,0.0
188,2030,2020,curtailment,0.0
189,2030,2020,OldNuke,0.0
190,2030,2020,IntercoOut,0.0
191,2030,2020,CCG,0.0
192,2030,2020,NewNuke,0.0
193,2030,2020,IntercoIn,0.0
194,2030,2020,WindOffShore,0.0
195,2030,2030,Solar,0.0
196,2030,2030,Coal_p,0.0
197,2030,2030,HydroRiver,0.0
198,2030,2030,WindOnShore,0.0
199,2030,2030,HydroReservoir,0.0
200,2030,2030,TAC,0.0
201,2030,2030,curtailment,0.0
202,2030,2030,OldNuke,0.0
203,2030,2030,IntercoOut,0.0
204,2030,2030,CCG,0.0
205,2030,2030,NewNuke,0.0
206,2030,2030,IntercoIn,0.0
207,2030,2030,WindOffShore,0.0
