,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,2040,Solar,42400.0
1,2040,Coal_p,0.0
2,2040,HydroRiver,1000.0
3,2040,WindOnShore,18800.0
4,2040,HydroReservoir,1000.0
5,2040,TAC,0.0
6,2040,curtailment,100000.0
7,2040,OldNuke,100000.0
8,2040,IntercoOut,100000.0
9,2040,CCG,0.0
10,2040,NewNuke,6600.0
11,2040,IntercoIn,100000.0
12,2040,WindOffShore,24100.0
13,2010,Solar,4000.0
14,2010,Coal_p,6000.0
15,2010,HydroRiver,100000.0
16,2010,WindOnShore,8000.0
17,2010,HydroReservoir,100000.0
18,2010,TAC,7100.0
19,2010,curtailment,100000.0
20,2010,OldNuke,100000.0
21,2010,IntercoOut,100000.0
22,2010,CCG,100000.0
23,2010,NewNuke,0.0
24,2010,IntercoIn,100000.0
25,2010,WindOffShore,0.0
26,2020,Solar,31100.000000000007
27,2020,Coal_p,0.0
28,2020,HydroRiver,0.0
29,2020,WindOnShore,25199.999999999996
30,2020,HydroReservoir,0.0
31,2020,TAC,0.0
32,2020,curtailment,100000.0
33,2020,OldNuke,100000.0
34,2020,IntercoOut,100000.0
35,2020,CCG,0.0
36,2020,NewNuke,0.0
37,2020,IntercoIn,100000.0
38,2020,WindOffShore,5200.0
39,2030,Solar,44500.0
40,2030,Coal_p,0.0
41,2030,HydroRiver,1000.0
42,2030,WindOnShore,14000.0
43,2030,HydroReservoir,1000.0
44,2030,TAC,0.0
45,2030,curtailment,100000.0
46,2030,OldNuke,100000.0
47,2030,IntercoOut,100000.0
48,2030,CCG,0.0
49,2030,NewNuke,6600.0
50,2030,IntercoIn,100000.0
51,2030,WindOffShore,15700.0
