,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,2040,saltCavernH2_G,823.5677735624932
1,2040,Battery,0.0
2,2040,tankH2_G,1266.0658197091284
3,2050,saltCavernH2_G,1141.5516425423166
4,2050,Battery,0.0
5,2050,tankH2_G,345.3311608067351
6,2020,saltCavernH2_G,0.0
7,2020,Battery,0.0
8,2020,tankH2_G,0.0
9,2030,saltCavernH2_G,403.82125630136073
10,2030,Battery,0.0
11,2030,tankH2_G,920.7346589023932
