YEAR_op,SCENARIO,CCS1,CCS2,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,eSMR w/o CCUS,eSMR + CCUS 50%,Solar,WindOffShore_flot,WindOnShore,curtailment,Alkaline electrolysis,PEM electrolysis,feedBiogas,feedRE,loadFac_elec,loadFac_SMR,loadFac_SMR+CCS50,loadFac_SMR+CCS90,carbon,costs
2020,Ref,0.0,0.0,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985771726405479,0.0,0.0,8.684791857508971,2.1346659086336257
2030,Ref,0.0,0.0,2455.585514220996,2.842170943040372e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2146.622198117648,0.0,0.0,0.0,0.3788601901313747,0.5499222294720084,0.0,0.0,4.699922506437516,3.3550030445944232
2040,Ref,0.0,0.0,1626.6835297368498,5.048709793414476e-31,2.7767903863779614e-31,0.0,0.0,73.0870974502002,0.0,131.36562311795038,0.0,4264.531432009049,2.6505726415425996e-30,23.47705019600573,132.76150686243543,0.289693381141025,0.3194069632679981,0.0,0.0,2.427430996541767,2.8617203819234924
2050,Ref,0.0,0.0,1274.8904380885606,851.3509105117745,0.0,0.0,0.0,219.26129235059992,0.0,394.0968693538515,0.0,4487.558651399468,0.0,449.6127025196851,398.28452058730613,0.27995254058222624,0.3107837410477122,0.5622203986816059,0.0,1.592405725230619,3.2205894115632074
