YEAR,SCENARIO,TECHNOLOGIE,powerCosts,capacityCosts,Prod,elecUse,gasUse,carbon,prodPercent,elecPercent,gasPercent,importElec,TURPE,capexElec,importGas,storageElec,storageH2
2020,Ref,AEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,Ref,AEL,0.0,73943246.11985153,2146622.1981176483,3305798.1851011785,0.0,1064222.52984373,1.0,1.0,0.0,70083229.08815944,40784345.51886436,0.0,0.0,0.0,2531862.7945193425
2040,Ref,AEL,0.0,152111916.2171027,4264531.43200905,6567378.405293937,0.0,1930861.4655800657,1.0,1.0,0.0,34458797.70303279,80385212.20166986,9022293.135998476,0.0,0.0,17757390.597299267
2050,Ref,AEL,0.0,132794341.00803898,4487558.651399468,6910840.323155181,0.0,1363453.321418033,1.0,1.0,0.0,28968494.304374006,80605473.5656254,24438363.880576067,0.0,0.0,48160514.63452388
2020,Ref,SMR,754999.8349505324,16440000.0,3595237.309288123,0.0,4601903.755888797,86039781.19095966,0.0,0.0,1.0,0.0,0.0,0.0,126983075.19324377,0.0,0.0
2030,Ref,SMR,515672.95798645116,23309159.749038484,2455585.5142209963,0.0,3143149.458202875,74357093.83902314,0.0,0.0,1.0,0.0,0.0,0.0,176610416.9963976,0.0,0.0
2040,Ref,SMR,341603.5412447258,32764756.818532225,1626683.5297368497,0.0,2082154.9180631677,58716766.837008625,0.0,0.0,1.0,0.0,0.0,0.0,118598018.20307976,0.0,0.0
2050,Ref,SMR,6831642.512044969,93841927.96884152,2126241.348600335,0.0,2755642.9626289,52132672.2783735,0.0,0.0,1.0,0.0,0.0,0.0,171236597.35346752,0.0,0.0
