,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,2412.6733462975376
1,2040,P,2365.5567689625927
2,2040,HPH,2412.6733462975376
3,2040,HCE,2412.6733462975376
4,2040,HPE,2412.6733462975376
5,2050,HCH,3376.0039126016577
6,2050,P,3080.0561109802347
7,2050,HPH,3376.0039126016577
8,2050,HCE,3376.0039126016577
9,2050,HPE,3376.0039126016577
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,952.9007899189235
16,2030,P,0.0
17,2030,HPH,952.9007899189235
18,2030,HCE,953.0533328377494
19,2030,HPE,953.0533328377494
